name,purpose,category,website
Air & Waste Management Association,"Air & Waste Management Association (A&WMA) is a non-profit professional organization that has over 5,000 professionals in 65 countries. The University of Florida (UF) AWMA chapter's purpose is to provide students and interested persons opportunity to better connect with others from the environmental and civil engineering, natural sciences, sustainability, environmental management and other STEM fields.","Political Interests, Social and Global Change",N/A
"Air, Space, and Ocean Law Society","The Air, Space, and Ocean Law Society is established for the purpose of developing interest in aviation law, space law, and ocean law.",miscellaneous,N/A
Alagarto Printmaking Guild,Our purpose is to help promote and spread the ideas and processes of printmaking.,"Fine Arts, Media/Publication",N/A
Alive Young Adults,"The purpose of Alive Young Adults is to create a safe space for young adults and students at UF to encounter God, build their faith, and find family and community to do life with. Alive Young Adults will offer monthly worship services that include teachings from the Bible. These services will be available to all on-campus students and students and young adults throughout the community of Gainesville.","Community/Volunteer Service, Religious/Spiritual",N/A
ALPHA CHI OMEGA,"The Alpha Chi Omega Fraternity is devoted to enriching the lives of members through lifetime opportunities of friendship, leadership, learning and service.",Panhellenic Council,N/A
ALPHA DELTA PI,"Established in 1851, Alpha Delta Pi is committed to sisterhood, values and ethics, high academic standards and social responsibility.",Panhellenic Council,N/A
Alpha Epsilon Delta,"Alpha Epsilon Delta (Florida Alpha Chapter) is a respected organization and the most renowned chapter in the U.S. We are a pre-professional honor society dedicated to providing unique community service opportunities and guidance throughout the undergraduate process. AED participates in over 100 projects each year in affiliation with the Climb for Cancer Foundation, Florida Diabetes Camp, Mobile Outreach Clinic, Alachua County Health Department, Shands Hospital, Alachua County Humane Society, and St. Jude Children's Research Hospital to name a few.",Professional/Career,N/A
Alpha Epsilon Lambda (AEL),"The Alpha Chapter of AEL has been founded to recognize, promote, and foster outstanding leadership, academic achievement, and service among graduate and professional students; and to encourage and support the development of all graduate and professional student organizations at the University of Florida.",Other,N/A
ALPHA EPSILON PHI,"The mission of Alpha Epsilon Phi Sorority is to inspire and support exemplary women dedicated to friendship and a lifelong commitment to Alpha Epsilon Phi while building on the vision of our founders. The Alpha Tau chapter at the University of Florida lives by its motto ""Multa Corda, Una Casa"" or ""Many Hearts, One Purpose.""",Panhellenic Council,N/A
ALPHA EPSILON PI,"Throughout our history, the fraternity setting has served as a ślearning laboratoryť, a testing ground for young men who later become leaders in business, education, government, religion, and science. A goal of our fraternity is to help each student to develop character, to learn responsibility, and to develop a proper set of values through living together in brotherhood. Alpha Epsilon Pi prepares young men for their role in life as responsible citizens.",Interfraternity Council ,N/A
ALPHA GAMMA RHO,"The purpose of Alpha Gamma Rho: To make better men and through them a broader and better agriculture by surrounding our member with influences intending to encourage individual endeavor, resourcefulness, and aggressive effort; along lines making for the development of better mental, social, moral, and physical qualities; To promote a wider acquaintance and broader outlook on the part of agricultural men through fellowship in a national organization that stands for the best social, mental, and moral development.",Interfraternity Council ,N/A
ALPHA KAPPA ALPHA,"The purpose of Alpha Kappa Alpha Sorority is to cultivate and encourage high scholastic and ethical standards, to promote unity and friendship among college women, to study and help alleviate problems concerning girls and women in order to improve their social stature, to maintain a progressive interest in college life, and to be of service to all mankind.",National Pan-Hellenic Council,N/A
Alpha Kappa Delta,"We promote excellence in the study of sociology, research of social problems, and other social and intellectual activities that will lead to improvement in the human condition.",Professional/Career,N/A
alpha KAPPA DELTA PHI,"The sisterhood of alpha Kappa Delta Phi provides women with a sense of belonging that nurtures life-long friendships, develops self-empowered leaders, and strengthens communities through service, scholarship, and Asian-Awareness.",Multicultural Greek Council,N/A
Alpha Kappa Psi,Alpha Kappa Psi is the oldest and largest co-ed professional business fraternity in the nation. Alpha Kappa Psi is the premier developer of principled business leaders.,"Business, Professional/Career",N/A
Alpha Omega,"Loving God, Loving People",Religious/Spiritual,N/A
Alpha Omega - Jewish Dental Society,"Section 1 - Mission Statement To enhance the dental profession and lives of dental professionals worldwide by promoting and supporting ideals of global oral health, education, and the bonds of fraternity.","Dentistry, Professional/Career",N/A
ALPHA OMICRON PI,"At AOII, our mission is to promote lifelong friendship, inspire academic excellence, to lead by example, and to serve our campus and surrounding communities. The values on which AOII was founded help lead us in the decisions we make and the behaviors we exhibit in our daily lives. The object of our Fraternity, written by our Founders in 1897, inspires us to stand at all times for character, dignity, scholarship, and college loyalty. These values enable us to go with character and confidence into the world around us, assured in knowing that AOII is ours, offering friendships and opportunities throughout our lifetime.",Panhellenic Council,N/A
ALPHA PHI,"The purpose of this organization is the promotion of growth in character, of unity, of feeling, of sisterly affection, and of social communion among its members.",Panhellenic Council,N/A
ALPHA PHI ALPHA,"Alpha Phi Alpha Fraternity, Inc. develops leaders, promotes brotherhood and academic excellence, while providing service and advocacy for our communities. As men of Alpha Phi Alpha, we hold ourselves to high standards through manly deeds, scholarship and love for all mankind.",National Pan-Hellenic Council,N/A
Alpha Phi Omega,"The purpose of Alpha Phi Omega shall be to assemble college students in a national service fraternity in the fellowship of principles derived from the Scout Oath and Law of the Boy Scouts of America; to develop leadership, to promote friendship, and to provide service to humanity; and to further the freedom that is our national, educational, and intellectual heritage.",Other,N/A
Alpha Pi Mu,"To confer recognition upon the industrial engineering student who has shown exceptional academic interests and abilities in his field, to encourage wherever possible any movement which will advance the best interest of industrial engineering education, to further unify the student body of the Industrial Engineering Department in presenting its needs and ideals to the faculty, to create a closer student-faculty relationship by bringing together the needs and thoughts of both, to assist and cooperate with all organizations and persons working for the interest of industrial engineering, To benefit its members by the association and experience that can come from bringing together a group with similar interests, objectives, and abilities, and to promote the professional welfare of all.","Engineering, Professional/Career",N/A
ALPHA TAU OMEGA,To build well-rounded men devoted to the University and the Gainesville community,Interfraternity Council ,N/A
Alpha Zeta,"Alpha Zeta is an honorary, professional society for students and industry professionals in the agriculture and natural resources fields. Today, Alpha Zeta has more than 115,000 alumni and more than 3,000 student members at 74 universities. We take pride in our commitment to the highest levels of scholarship, leadership, fellowship, and character. The Florida Chapter of Alpha Zeta is only available to students in the College of Agricultural and Life Sciences with a GPA in the top two-fifths of the college.","Agricultural and Life Sciences, Professional/Career",N/A
American Association for Aerosol Research-student chapter,"As a student chapter of AAAR in UF, the organization intends to promote interest in aerosol research by hosting student run seminars and lab tours as well as facilitate understanding of various aspects of aerosol research. Gaining up-to-date knowledge through organizational activities, the members will develop interest in pursuing higher education and career in the field of aerosol science. The organization also serves as a platform to build professional network with aerosol experts across the globe.",Engineering,N/A
"American Association for Dental, Oral, and Craniofacial Research Student Research Group Florida Chapter",We are an organization that focuses on promoting the importance of dental research and the involvement of student research in dentistry.,"Dentistry, Professional/Career",N/A
American Association of Public Health Dentistry,"To work and ultimately function as a student chapter of its national organization at the University of Florida. AAPHD wants to promote community and civic involvement, and develop leadership skills that foster a collaborative learning environment.","Dentistry, Professional/Career",N/A
American Association of Women Dentists,"To have an organization that is closely affiliated with both the University of Florida “ College of Dentistry and the female community of organized dentistry at large, the national chapter of AAWD. We aim to allow female students to become more involved in an organization related to dentistry. Males are welcome to serve as auxiliary members. Students are able to interact with dentists and learn more about the field of dentistry.","Dentistry, Professional/Career",N/A
American College of Clinical Pharmacy,The purpose of the American College of Clinical Pharmacy is to explore and promote careers in clinical pharmacy and provide ways to practice the essential skills needed in clinical pharmacy careers.,"Pharmacy, Professional/Career",N/A
American College of Clinical Pharmacy Jacksonville,The purpose of the American College of Clinical Pharmacy is to explore and promote careers in clinical pharmacy and provide ways to practice the essential skills needed in clinical pharmacy careers.,"Pharmacy, Professional/Career",N/A
American Concrete Institute,"The purpose of the American Concrete Institute shall be to further education and technical practice, scientific investigation, and research by organizing the efforts of its members for a nonprofit, public service in gathering, correlating, and disseminating information for the improvement of the design, construction, manufacture, use, and maintenance of concrete products and structures. This American Concrete Institute is accordingly organized and shall be operated exclusively for educational and scientific purposes.","Design/Construction/Planning, Professional/Career",N/A
American Constitution Society for Law and Policy,To promote a living Constitution.,Law,N/A
American Institute of Aeronautics and Astronautics,"The American Institute of Aeronautics and Astronautics is a student organization within the University of Florida that offers students the opportunity to enhance their education and experience through design teams, social activities, community service, tutoring and mentoring, speakers, company tours, regional council meetings, and national conferences and competitions. We aim to provide students with exposure to speakers – professors, student interns, and professionals from all facets of industry – and to connect students with research, scholarship, and internship opportunities so as to advance their careers to new levels.",Professional/Career,N/A
American Institute of Architecture Students,"The purpose of AIAS is to promote excellence in architecture education, training, and practice, to foster an appreciation of architecture and related disciplines, to enrich communities in a spirit of collaboration, and to organize students and combine their efforts to advance the art and science of architecture.","Design/Construction/Planning, Professional/Career",N/A
American Institute of Chemical Engineers,"The University of Florida Chapter of the American Institute of Chemical Engineers also known as UF AIChE is a student-run, non-profit organization that strives to provide fellowship among chemical engineering students and also foster engineering skills and professional development for the continued advancement of ourselves, our University, our community, and our world.",Engineering,N/A
American Marketing Association,A. To offer students the opportunity to gain practical business experience.,"Business, Media/Publication, Professional/Career",N/A
American Medical Association Medical Student Section,"AMA-MSS is dedicated to representing medical students, improving medical education, developing leaders, and promoting activism for the health of America. The purpose of AMA-MSS is to train medical students to be advocates for themselves and their future patients at the community, state, and national levels through education, community service, and leadership, and other opportunities made available by the AMA, FMA, and ACMS.","Medicine, Professional/Career",N/A
American Meteorological Society,"The purpose of AMS is to create an extracurricular engagement and networking space for students and faculty focused on meteorology, connect students with opportunities and contacts on and off campus to help foster their interest and future paths in meteorology, and make meteorology at UF exciting and engaging with social events and projects.","Liberal Arts and Sciences, Professional/Career",N/A
American Nuclear Society,"The objectives of the Section shall be consistent with the objectives of the Society as set forth in its Certificate of Incorporation and in Article B2 of its Bylaws and Rules, principally, ""the advancement of science and engineering relating to the atomic nucleus, and of allied sciences and arts.""","Engineering, Professional/Career",N/A
American Pharmacists Association - Academy of Student Pharmacists - Gainesville,"The American Pharmacists Association- Academy of Student Pharmacists (APhA-ASP) is the largest professional student pharmacy organization in the nation. APhA-ASP is the only organization representing all pharmacists and student pharmacists. The purpose of APhA-ASP is to be the collective voice of student pharmacists, to provide opportunities for professional growth, to improve patient care, and to envision and advance the future of pharmacy.","Pharmacy, Professional/Career",N/A
American Pharmacists Association - Academy of Student Pharmacists - Jacksonville,"The mission of APhA-ASP is to be the collective voice of student pharmacists, to provide opportunities for professional growth, to improve patient care and to envision and advance the future of pharmacy.",Professional/Career,N/A
American Physician Scientists Association,The purpose of the undergraduate APSA Chapter at UF is to facilitate the career development of students who wish to train as physician-scientists or as other research-oriented health professionals. Website: https://apsa-ufl.org/ Find all relevant links here: https://linktr.ee/UFAPSA,"Medicine, Professional/Career", https://apsa-ufl.org/
"American Society for Microbiology, Student Chapter","The American Society for Microbiology, UF Student Chapter is a student-run organization that offers undergraduate and graduate students an opportunity to more fully explore the microbiology field by offering ties to research, leadership opportunities, relevant outreach programs, trips to microbiology-related institutions, and connections with fellow peers and faculty members.","Agricultural and Life Sciences, Professional/Career",N/A
American Society of Biomechanics,"The purpose of the American Society of Biomechanics chapter is to foster the advancement, communication, and application of biomechanics to benefit society.",miscellaneous,N/A
American Society of Civil Engineers,The American Society of Civil Engineers develops future leaders in civil and environmental engineering by promoting professionalism and technical development while providing a sense of community for students.,"Engineering, Professional/Career",N/A
American Society of Consultant Pharmacists,The purpose of the American Society of Consultant Pharmacists is to further disseminate knowledge and information about the profession of consultant and senior care pharmacy and to play an integral part in carrying out the mission and specific goals of the national chapter of the American Society of Consultant Pharmacists.,"Pharmacy, Professional/Career",N/A
American Society of Landscape Architects - Student Chapter,We are a group of Landscape Architecture students at the University of Florida focused on creating a lasting impact in our community though design. We are Stewards of the Land in Training. Feel free to contact the UF SCASLA executive committee via the UF SCASLA e-mail (uf.scasla@gmail.com).,"Design/Construction/Planning, Professional/Career",N/A
American Society of Mechanical Engineers,Prepare students for a career in engineering through professional development and hands-on experience.,"Engineering, Professional/Career",N/A
American Student Dental Association,"The American Student Dental Association is a national student-run organization that protects and advances the rights, interests and welfare of dental students.","Dentistry, Professional/Career",N/A
American Water Resources Association,"The purpose of the UF Chapter of the American Water Resources Association is to bring together students who are interested in a variety of fields related to water resources and allow them to network with each other, with faculty, and with professionals from Florida and around the country. Additionally we offer service opportunities that allow our members to help the local community.","Engineering, Professional/Career",N/A
American Water Works Association,"The purpose of the AWWA Student Chapter is to: -Develop students into successful professionals in the water industry, and -Introduce members to professional networks in the water industry, and -Foster the exchange of ideas and information in water and related fields, and -Educate the community in water and related fields","Agricultural and Life Sciences, Professional/Career",N/A
Amnesty International Gainesville,"Amnesty International Gainesville is a student-led organization open to all University of Florida students as a local initiative for global human rights advocacy, civic engagement, and social encouragement through its community involvement and social media networks. We aim to establish a two-pronged activist approach that allows students to support human rights not only at the international level, but in tangible ways within the community as well.","Political Interests, Social and Global Change",N/A
Ancient Mythology Association,The Ancient Mythology Association's purpose is to teach students about the rich cultures of the past through the mythological stories shared throughout the ages. The goal is to increase awareness and understanding of the difference in cultures through comparing and contrasting the various stories.,Special Interests,N/A
Animal Health and Wellness Club,To create educational opportunities for students to learn and grow within the veterinary field.,"Veterinary Medicine, Professional/Career",N/A
Animal Science Graduate Student Organization,The objective of this organization shall be to coordinate graduate student activities and programs which further the professional and social development of the graduate students in the Department of Animal Sciences and related fields at the University of Florida.,Agricultural and Life Sciences,N/A
Anything Goes Poetry,"The purpose of Anything Goes Poetry is to provide a creative outlet to students that otherwise may not engage with poetry and provide a space to explore poetry for beginner writers and readers. As well as to explore topics and themes through poetry, as well as serving to enable people to feel more confident with performing/public speaking.",Fine Arts,N/A
"Apollodorus Chapter of Alpha Rho Chi Fraternity, Inc.","Alpha Rho Chi (APX) is a national professional fraternity. The Apollodorus Chapter of Alpha Rho Chi is the only co-ed professional fraternity for architecture and the allied arts at the University of Florida. Our brotherhood unites all people for the purpose of fellowship, service, and a mutual passion for professional development. This is exemplified by the fraternity's motto: Fidelitas, Amor et Artes, śFidelity and Love of the Arts.ť","Design/Construction/Planning, Professional/Career",N/A
Aquatic Adventures Club,"AAC is a service-based scuba diving club that aims to promote conservation, education, and innovation in the field of marine sciences to the UF student body and beyond. We will host cleanup dives, fundraise for conservation projects, and facilitate communication between UF students and other Marine/Aquatic Conservation organizations. Through collaboration with external organizations, AAC hopes to create a network for UF students interested in aiding the global effort of marine and aquatic conservation.","Veterinary Medicine, Social and Global Change",N/A
Aquatic Animal Health Club,The Aquatic Animal Health Club is a student-run organization dedicated to supplementing University of Florida's College of Veterinary Medicine (UFCVM) curriculum by providing educational and networking opportunities...,Professional/Career,N/A
Arab Students' Association,"The Arab Students' Association (ASA) aims to build, unite, and empower the Arab community on campus through various cultural, social and, service events, and strives to provide an inclusive and welcoming ""home away from home"" for all members. Furthermore, ASA seeks to promote, celebrate and raise awareness of Arab culture in order to eradicate stereotypes, and provide insight on the rich heritage of the Middle East and North Africa.",Cultural,N/A
Architrave,"Architrave is a student-run publication within the college of Design, Construction, and Planning that showcases the student work and student life by means of collecting guest lecture interviews, travel photos, student writings, and design work.","Design/Construction/Planning, Professional/Career",N/A
Argentine Student Association,The purpose of ARSA is to accomplish the following: A. Promote the increased awareness of the shared culture between Argentineans and the rest of the Latin American nations. B. Educate the Student Body on the history and cultural richness of the Argentine nation. C. Support the regained cultural identity for Argentinean students and all interested students. D. Inspire future Argentinean and interested leaders. E. Unite all Latin nations behind common programming.,Cultural,N/A
Arnold Air Society-Silver Wings,"The purpose of the Dale E. Mabry Squadron of the Arnold Air Society-Silver Wings is to create a student organization that represents the Arnold Air Society-Silver Wings program at UF. Arnold Air Society-Silver Wings is a professional, honorary, service organization advocating the support of aerospace power, professional because of its mission to further develop future Air Force officers, honorary because of the high standards for membership, and service-oriented because of the contributions and assistance provided to the community, the campus, and officer commissioning programs.","Military, Professional/Career",N/A
Art History Association,"""We are a club for anyone and everyone who is passionate about art, history, and art history. Our goal is to create a community for art lovers and provide opportunities for networking, making friends, and having fun.""",Fine Arts,N/A
Art Law Society,"The Art Law Society is dedicated to developing an interest in the niche field of art law. Through the Art Law Society, students are exposed to a legal field that encompasses the intersection of intellectual property, cultural property, entertainment law, and contracts. While we may be best known for our Annual Student, Faculty, and Staff Art Show, the Art Law Society exists to keep students informed about current, complex issues in the art world and...","Fine Arts, Law",N/A
Arts in Health,"The purpose of Arts in Health is to bring artistic skills to people around the world, to use those skills to enhance individual and community health, and to create opportunities for international and cultural exchange.",Fine Arts,N/A
Asha Florida,"Asha Florida is a non-profit organization and student organization at University of Florida. It is a completely volunteer-driven organization, comprising of dedicated individuals from this University and Gainesville area, striving to make a difference to the society. We believe that education is one of the primary factors in shaping a child's future and by extension, future of the entire country. Asha UFlorida works towards promoting the education of underprivileged children in India by providing financial assistance and support to the NGOs focused on education projects. Volunteers of Asha work closely with the project partners in India, while locally organizing fundraisers and community awareness events. Gate River Run, a popular 15K race in Jacksonville, Florida, is Asha Florida's primary fundraiser, which directly helps support several education projects in India.","Community/Volunteer Service, Political Interests",N/A
Asian American Journalists Association,"The purpose of the Asian American Journalists Association is to provide a means of association and support among Asian American and Pacific Islander journalists, and to advance these journalists as news managers and media executives. The organization also provides encouragement, information, advice and scholarship assistance to students who aspire to professional journalism careers.","Cultural, Journalism and Communications",N/A
Asian American Student Assembly,The Asian American Student Assembly fosters an enduring awareness and unity among Asian and Asian Americans at the University of Florida by introducing new students to the University of Florida's Asian Pacific Islander Desi American community's resources; specifically organizations and events. We strive to welcome returning students and alumni back to the community through highlighting an array of opportunities to look forward to throughout the school year.,Cultural,N/A
Asian American Student Union,"The Asian American Student Union seeks to promote Asian and Asian American Awareness at the University of Florida. We are dedicated to educating the campus about Asian American issues, history, and culture through creative and stimulating events. In addition, AASU strives to be the premier source or political and social advocacy. Lastly we intend to foster dedicated, educated and well-rounded members who apply their unique talents for the greater benefit of the global/social community.","Political Interests, Social and Global Change",N/A
Asian and Pacific American Law Students Association,"APALSA was established to help create a support system for individuals of Asian and Pacific Islander descent who are interested in pursuing a legal career. APALSA hopes to attract and encourage students to attend UF Law through efforts of support, networking, and providing an informative database about the Gainesville area.","Law, Professional/Career",N/A
Asian Kaleidoscope Month,The Asian Kaleidoscope Month exists to: Celebrate the culture and history of Asian Americans Program a month's worth of events Educate the Gainesville/University of Florida community and bring awareness to Asian American heritage Asian Kaleidoscope Month is the collective creation of a month-long celebration of culture and history of the Asian American community. It is an affiliate of the Asian American Student Union.,Cultural,N/A
Asian Public Relations Student Association,"The purpose of Asian Public Relations Student Association is to promote diverse experiences and voices within the UF College of Journalism and Communications by creating an inclusive, judgement-free zone to discuss the intersections of Asian-American culture and the public relations fields. Through this organization, we strive to create a community that empowers and strengthens the identity of our Asian, South Asian and Middle Eastern students, while giving them the resources to grow professionally in the public relations and communications industry.",Cultural,N/A
Assemble Ballet Company,Assemble Ballet Company is a student-run organization focused on improving ballet strength and technique. No dress code required. Come check us out!,Fine Arts,N/A
Associated Builders and Contractors,The purpose of Associated Builders and Contractors is to promote academic and career related opportunities within the construction industry. The ABC student chapter provides our members with hands on speaker series events from industry professionals and access to network outside the classroom and within the industry.,"Design/Construction/Planning, Professional/Career",N/A
Association for Law and Business,"The ALB is the premier student organization for the advancement of business law study at Levin College of Law. Members share an interest in all areas of business law, including Commercial Litigation, Securities, Corporate, Bankruptcy, and Intellectual Property law. Through its relationship with the Business Law Section of the Florida Bar, the ALB brings law students, professors, and practicing attorneys together by offering distinguished guest speakers, social events, and research and publication opportunities to the student body. The ALB also provides guidance to its members in choosing business law as a curriculum and career.","Business, Law, Professional/Career",N/A
Association for Media Professionals,"All college of Journalism and communication students are welcomed to learn more about the world of professionalism in this club. It will offer resume critiques, mock-interviews, public speaking practice. We will also have multiple speakers come speak once a month to talk about their personal growth with communications and answer any questions for College of Journalism students.","Journalism and Communications, Professional/Career",N/A
Association for Tax Law,"To involve and inform students on tax matters, to encourage students to volunteer at or participate in Volunteer Income Tax Assistance (VITA), an IRS sponsored program, and to involve students in tax competitions that may lead to participation on Tax Moot Court. The Association for Tax Law seeks to promote an awareness of tax matters and to involve students in academic competitions and volunteer activities.","Journalism and Communications, Professional/Career",N/A
Association for Women in Sports Media,The purpose of the University of Florida Association for Women in Sports Media is to enhance media networking and job opportunities for men and women pursuing careers in the sports media field as well as continue to mold the śFlorida 2020ť vision and the new sports media major.,"Journalism and Communications, Media/Publication, Professional/Career",N/A
Association of Computer Engineers,"ACE plans, manages, and attends computer related projects, presentations, tutoring, mentoring, and special events hosted by the Computer & Information Science & Engineering (CISE) and the Electrical & Computer Engineering (ECE) Departments","Engineering, Professional/Career",N/A
Association of Latino Professionals in Finance and Accounting,"ALPFA creates opportunities, adds value, builds relationships for its members, the community and its business partners while expanding Latinx leadership in the global workforce.",Professional/Career,N/A
Association of Saudi Arabian Students,The purpose of this organization if to serve as a means for welcoming Saudi Arabian students to the University of Florida in addition to fostering greater understanding and exposure to Saudi Arabian Culture.,Cultural,N/A
Association of Zamorano Alumni,"The purpose of the Association of Zamorano Alumni (AZA) is to promote academic and career resources to help students get involved in more extracurricular activities. Following the Zamorano University Pan-Americanism, AZA looks to involve Zamorano Alumni and other UF students in the organization in the exchange of culture, language, scientific experience and others. To promote the diversity, and follow the Pan-Americanism ideology of our organization, friends, colleagues and work partners will be encouraged to be part of the Association.",Special Interests,N/A
Astronomy and Astrophysics Society,To share the love of astronomy with everyone!,"Liberal Arts and Sciences, Special Interests",N/A
Athletic Training Student Association,"The Athletic Training Student Association is an undergraduate organization created to educate students while fostering a passion for the athletic training profession. The organization will provide educational opportunities, professional development, and networking with professionals and like-minded students.",Sports Clubs,N/A
